LOC_ID,CLUSTER,P_VALUE,RECURR_INT,CLU_OBS,CLU_EXP,CLU_ODE,CLU_RR,CLU_POP,LOC_OBS,LOC_EXP,LOC_ODE,LOC_RR,LOC_POP,LOC_LAT,LOC_LONG,GINI_CLUST
95595,19,2.48385513357e-06,2818200,2,24.9686340157,0.0801004972,0.0801000038,851.15,0,0,0,0,0,40.1167287038,-123.4245537973,FALSE
95511,19,2.48385513357e-06,2818200,2,24.9686340157,0.0801004972,0.0801000038,851.15,0,6.2184240609,0,0,262,40.1712540241,-123.6302689997,FALSE
95552,19,2.48385513357e-06,2818200,2,24.9686340157,0.0801004972,0.0801000038,851.15,2,17.8008322355,0.1123542975,0.1123538213,526.6,40.1983984728,-123.2311237711,FALSE
95514,19,2.48385513357e-06,2818200,2,24.9686340157,0.0801004972,0.0801000038,851.15,0,0.9493777192,0,0,62.55,40.2912375483,-123.6524517916,FALSE
96009,20,4.90504957429e-06,1427101,1,21.2660609107,0.047023283,0.0470230274,2240,0,3.0475024787,0,0,321,41.0634713987,-121.0410444767,FALSE
96068,20,4.90504957429e-06,1427101,1,21.2660609107,0.047023283,0.0470230274,2240,0,0,0,0,0,41.1152429914,-121.2086408999,FALSE
96006,20,4.90504957429e-06,1427101,1,21.2660609107,0.047023283,0.0470230274,2240,0,3.6930793278,0,0,389,41.1742528632,-120.8529764966,FALSE
96056,20,4.90504957429e-06,1427101,1,21.2660609107,0.047023283,0.0470230274,2240,1,14.5254791042,0.068844545,0.0688442953,1530,41.0236946238,-121.2830761639,FALSE
96107,21,1.073321372125e-05,652181,1,20.4068740748,0.0490030955,0.0490028405,1433,1,20.4068740748,0.0490030955,0.0490028405,1433,38.4802845986,-119.4727802407,FALSE
96104,22,1.576476302378e-05,444028,1,19.9844009897,0.050039028,0.0500387732,842,1,19.9844009897,0.050039028,0.0500387732,842,41.5161460616,-120.1291535497,FALSE
96103,23,1.624842042813e-05,430811,1,19.9511727696,0.0501223668,0.0501221121,1401,1,19.9511727696,0.0501223668,0.0501221121,1401,39.8011770129,-120.6608409138,FALSE
93432,24,5.613535047055e-05,124699,2,21.40372068,0.0934416978,0.0934412116,1503,2,21.40372068,0.0934416978,0.0934412116,1503,35.4719265985,-120.4710527247,FALSE
90401,25,6.774915401442e-05,103322,0,14.4664820602,0,0,6556.24,0,14.4664820602,0,0,6556.24,34.0141913753,-118.4941198844,FALSE
94511,26,0.0001210811216722,57812,2,20.5160525125,0.0974846403,0.0974841562,2161,2,20.5160525125,0.0974846403,0.0974841562,2161,38.0290031662,-121.6405673697,FALSE
95551,27,0.00018044550295604,38793,0,13.4431885043,0,0,1416,0,13.4431885043,0,0,1416,40.6694633116,-124.2212421682,FALSE
94923,28,0.00071978519018601,9725,1,15.7549232506,0.0634722229,0.0634719717,3319,0,0,0,0,0,38.3416253263,-123.030988742,FALSE
