"","GEOID","RPL_theme1","RPL_theme2","RPL_theme3","RPL_theme4","RPL_themes","year","state"
"417","92203",0.5012,0.778,0.5611,0.3368,0.5421,2020,"CA"
"418","92210",0.1384,0.2572,0.0969,0.109,0.0819,2020,"CA"
"419","92211",0.3506,0.5363,0.2059,0.2958,0.3212,2020,"CA"
"420","92220",0.8633,0.9798,0.6569,0.9002,0.9487,2020,"CA"
"421","92222",NA,NA,NA,NA,NA,2020,"CA"
"422","92223",0.4971,0.8893,0.6465,0.4423,0.6275,2020,"CA"
"423","92225",0.8062,0.8408,0.7411,0.966,0.9089,2020,"CA"
"424","92227",0.8973,0.9919,0.8616,0.8097,0.9671,2020,"CA"
"425","92230",0.6603,0.6713,0.6401,0.4631,0.6517,2020,"CA"
"426","92231",0.9394,0.9896,0.9844,0.6436,0.9619,2020,"CA"
"427","92233",0.9377,0.2647,0.94,0.7313,0.8033,2020,"CA"
"428","92234",0.8737,0.8403,0.7065,0.7976,0.88,2020,"CA"
"429","92236",0.9833,0.2907,0.9775,0.2261,0.703,2020,"CA"
"430","92239",0.0329,0.5317,0.1476,0.3529,0.1701,2020,"CA"
"431","92240",0.9521,0.9544,0.7411,0.8137,0.9556,2020,"CA"
"432","92241",0.8547,0.6176,0.4717,0.7036,0.767,2020,"CA"
"433","92242",0.5819,0.6401,0.1886,0.2618,0.4562,2020,"CA"
"434","92243",0.8795,0.9913,0.9135,0.9844,0.9942,2020,"CA"
"435","92249",0.7451,0.7116,0.9931,0.5363,0.7566,2020,"CA"
"436","92250",0.8627,0.9735,0.8258,0.8051,0.9383,2020,"CA"
"437","92251",0.6159,0.7301,0.8881,0.7059,0.7428,2020,"CA"
"438","92252",0.7261,0.7509,0.2336,0.5657,0.6874,2020,"CA"
"439","92253",0.6015,0.7215,0.4775,0.2491,0.5265,2020,"CA"
"440","92254",0.9873,0.4723,0.9752,0.3483,0.778,2020,"CA"
"441","92256",0.7445,0.4983,0.2382,0.3939,0.5802,2020,"CA"
"442","92257",0.8172,1,0.56,0.6476,0.9175,2020,"CA"
"443","92258",0.9988,0.6667,0.7722,0.4948,0.8731,2020,"CA"
"444","92259",0.4302,0.1528,0,0.3201,0.2474,2020,"CA"
"445","92260",0.5507,0.6165,0.3731,0.7209,0.6384,2020,"CA"
"446","92262",0.7249,0.6332,0.4585,0.7664,0.7405,2020,"CA"
"447","92264",0.6522,0.4931,0.3149,0.643,0.6315,2020,"CA"
"448","92266",0.1603,0.1753,0.2295,0.1021,0.0842,2020,"CA"
"449","92267",0,0,0.9954,0.0848,0.0127,2020,"CA"
"450","92268",0.3397,0.2203,0.1453,0.0363,0.0998,2020,"CA"
"451","92270",0.4729,0.4343,0.173,0.4527,0.4279,2020,"CA"
"452","92273",0.9787,0.812,0.9683,0.3956,0.8552,2020,"CA"
"453","92274",0.996,0.7082,0.887,0.4844,0.8806,2020,"CA"
"454","92275",0.6569,0.9204,0.669,0.2007,0.62,2020,"CA"
"455","92276",0.677,0.9879,0.6569,0.6574,0.8316,2020,"CA"
"456","92277",0.7947,0.7255,0.5277,0.3639,0.6747,2020,"CA"
"457","92278",0.2993,0.0311,0.44,0.1315,0.0767,2020,"CA"
"458","92280",NA,NA,NA,NA,NA,2020,"CA"
"459","92281",0.8962,0.9827,0.9025,0.5531,0.9066,2020,"CA"
"460","92282",0.8478,0.831,0.6436,0.6609,0.8201,2020,"CA"
"461","92283",0.827,0.9908,0.8091,0.812,0.9441,2020,"CA"
"462","92284",0.8097,0.8322,0.3979,0.4764,0.7272,2020,"CA"
"463","92285",0.8535,0.417,0.1782,0.3829,0.6015,2020,"CA"
"464","92301",0.9556,0.9302,0.906,0.9591,0.989,2020,"CA"
"465","92304",0.372,0,0.737,0.3362,0.1165,2020,"CA"
"466","92305",0.2855,0.1032,0.2497,0.3777,0.2082,2020,"CA"
"467","92307",0.7399,0.7762,0.5663,0.4221,0.6903,2020,"CA"
"468","92308",0.7659,0.9268,0.5409,0.5,0.7584,2020,"CA"
"469","92309",0.8714,0.6482,0.846,0.8201,0.8581,2020,"CA"
