"","GEOID","RPL_theme1","RPL_theme2","RPL_theme3","RPL_theme4","RPL_themes","year","state"
"1574","14530",0.8086,0.7553,0.5805,0.7289,0.8195,2020,"NY"
"1575","14532",0.4831,0.8808,0.2344,0.5759,0.6229,2020,"NY"
"1576","14533",0.6871,0.9656,0.3077,0.5135,0.7593,2020,"NY"
"1577","14534",0.0493,0.7461,0.639,0.5181,0.3404,2020,"NY"
"1578","14536",0.886,0.5702,0.2189,0.2436,0.5811,2020,"NY"
"1579","14537",0.2751,0.1656,0,0.1312,0.1129,2020,"NY"
"1580","14539",0.0539,0.3307,0,0.1181,0.0734,2020,"NY"
"1581","14541",0.7731,0.5295,0.7811,0.8287,0.8201,2020,"NY"
"1582","14542",0.3536,0.086,0.6453,0,0.0751,2020,"NY"
"1583","14543",0.0418,0.4103,0.4023,0.3238,0.1599,2020,"NY"
"1584","14544",0.8974,0.886,0.3335,0.6235,0.8338,2020,"NY"
"1585","14545",0.1696,0.2797,0.4653,0.0533,0.1072,2020,"NY"
"1586","14546",0.3777,0.6464,0.4361,0.3318,0.3908,2020,"NY"
"1587","14548",0.3513,0.2046,0.3696,0.3387,0.2653,2020,"NY"
"1588","14549",0.1089,0.5003,0,0.0842,0.1026,2020,"NY"
"1589","14550",0.8092,0.4905,0.2653,0.4372,0.6183,2020,"NY"
"1590","14551",0.5713,0.6774,0.6327,0.6023,0.6688,2020,"NY"
"1591","14555",0.6109,0.8155,0.5215,0.2946,0.5616,2020,"NY"
"1592","14559",0.3897,0.5364,0.3742,0.6149,0.5077,2020,"NY"
"1593","14560",0.8309,0.3289,0.4212,0.3679,0.5742,2020,"NY"
"1594","14561",0.1989,0.5519,0.3221,0.502,0.3519,2020,"NY"
"1595","14564",0.0619,0.4951,0.4074,0.6309,0.3158,2020,"NY"
"1596","14568",0.0774,0.1542,0.3158,0.1037,0.0705,2020,"NY"
"1597","14569",0.3398,0.5163,0.3742,0.6573,0.4997,2020,"NY"
"1598","14571",0.9089,0.5375,0.4871,0.4206,0.7301,2020,"NY"
"1599","14572",0.8195,0.5668,0.4304,0.6716,0.7576,2020,"NY"
"1600","14580",0.1547,0.7954,0.5095,0.6768,0.5089,2020,"NY"
"1601","14585",0.1473,0.1954,0.7209,0.1542,0.1387,2020,"NY"
"1602","14586",0.5599,0.5891,0.7777,0.4946,0.6235,2020,"NY"
"1603","14588",0.1484,0.306,0.8201,0,0.098,2020,"NY"
"1604","14589",0.3908,0.9507,0.5387,0.9169,0.8023,2020,"NY"
"1605","14590",0.933,0.9461,0.4052,0.9272,0.941,2020,"NY"
"1606","14591",0.6923,0.706,0.4774,0.2831,0.5519,2020,"NY"
"1607","14592",0,0.0395,0,0,0.004,2020,"NY"
"1608","14604",0.7633,0.1484,0.7943,0.7501,0.6814,2020,"NY"
"1609","14605",0.9914,0.9954,0.9713,0.9639,0.9983,2020,"NY"
"1610","14606",0.8774,0.9845,0.8418,0.6436,0.9169,2020,"NY"
"1611","14607",0.8034,0.192,0.6917,0.7324,0.7112,2020,"NY"
"1612","14608",0.9668,0.9501,0.9421,0.9289,0.9719,2020,"NY"
"1613","14609",0.8923,0.9221,0.89,0.6877,0.9072,2020,"NY"
"1614","14610",0.2946,0.5731,0.6206,0.7845,0.6052,2020,"NY"
"1615","14611",0.988,0.9771,0.9513,0.8785,0.9868,2020,"NY"
"1616","14612",0.5616,0.7668,0.6481,0.6562,0.7106,2020,"NY"
"1617","14613",0.9559,0.9862,0.9501,0.8344,0.9736,2020,"NY"
"1618","14614",0.9673,0.1971,0.9341,0.9782,0.9123,2020,"NY"
"1619","14615",0.91,0.933,0.8613,0.765,0.9266,2020,"NY"
"1620","14616",0.6883,0.9587,0.7175,0.5897,0.8132,2020,"NY"
"1621","14617",0.3496,0.8957,0.6,0.4814,0.5862,2020,"NY"
"1622","14618",0.2309,0.5874,0.6659,0.6292,0.4991,2020,"NY"
"1623","14619",0.9398,0.9232,0.9513,0.5593,0.9077,2020,"NY"
"1624","14620",0.7891,0.4201,0.8006,0.8871,0.8287,2020,"NY"
"1625","14621",0.9788,0.996,0.961,0.9421,0.9943,2020,"NY"
"1626","14622",0.447,0.8269,0.6848,0.4774,0.616,2020,"NY"
"1627","14623",0.8544,0.2407,0.7874,0.9181,0.8281,2020,"NY"
"1628","14624",0.31,0.788,0.6688,0.604,0.5851,2020,"NY"
"1629","14625",0.2132,0.2688,0.4052,0.6401,0.3467,2020,"NY"
"1630","14626",0.4556,0.8504,0.6453,0.7513,0.7375,2020,"NY"
"1631","14627",0.0946,0.0372,0.8143,0.1421,0.0688,2020,"NY"
"1632","14701",0.8476,0.9381,0.5593,0.8372,0.9066,2020,"NY"
"1633","14706",0.286,0.8441,0.4189,0.4917,0.5083,2020,"NY"
"1634","14707",0.8011,0.1163,0.1989,0.1158,0.243,2020,"NY"
"1635","14708",0.2774,0.5261,0.1633,0.3221,0.2923,2020,"NY"
"1636","14709",0.6069,0.894,0.2464,0.4069,0.6103,2020,"NY"
"1637","14710",0.6539,0.8086,0.1593,0.3003,0.5255,2020,"NY"
"1638","14711",0.7599,0.7158,0.2521,0.7083,0.7484,2020,"NY"
"1639","14712",0.1226,0.3301,0.0739,0.2418,0.1415,2020,"NY"
"1640","14714",0.8728,0.9427,0.0894,0.4,0.7519,2020,"NY"
"1641","14715",0.7685,0.8814,0.1794,0.5794,0.7415,2020,"NY"
"1642","14716",0.8607,0.8189,0.7175,0.8888,0.9032,2020,"NY"
"1643","14717",0.4407,0.3427,0.1748,0.2504,0.2751,2020,"NY"
"1644","14718",0.5662,0.5868,0.5874,0.788,0.7249,2020,"NY"
"1645","14719",0.7862,0.7639,0.2653,0.7009,0.7725,2020,"NY"
"1646","14720",0.6052,0.5335,0.4688,0.1914,0.396,2020,"NY"
"1647","14721",0.9805,0.6819,0.2579,0.1175,0.6327,2020,"NY"
"1648","14722",0.8928,0.0292,0.7404,0.3072,0.4143,2020,"NY"
"1649","14723",0.6229,0.6052,0.1564,0.3742,0.4911,2020,"NY"
"1650","14724",0.6848,0.6556,0.1794,0.667,0.6768,2020,"NY"
"1651","14726",0.8361,0.6183,0.1169,0.6092,0.7152,2020,"NY"
"1652","14727",0.6854,0.8951,0.1794,0.647,0.737,2020,"NY"
"1653","14728",0.4963,0.3989,0.2521,0.6539,0.5249,2020,"NY"
"1654","14729",0.5318,0.6264,0.0785,0.5347,0.5198,2020,"NY"
"1655","14731",0.5777,0.5387,0.2344,0.3926,0.467,2020,"NY"
"1656","14732",0.3691,0.0499,0,0.1559,0.0888,2020,"NY"
"1657","14733",0.8734,0.5404,0.2298,0.7708,0.7926,2020,"NY"
"1658","14735",0.8338,0.8195,0.1461,0.5937,0.7587,2020,"NY"
"1659","14736",0.3799,0.0378,0,0.0481,0.0539,2020,"NY"
"1660","14737",0.784,0.8178,0.467,0.8556,0.851,2020,"NY"
"1661","14738",0.5994,0.3971,0.1593,0.2997,0.3725,2020,"NY"
"1662","14739",0.8046,0.9181,0.1209,0.8155,0.839,2020,"NY"
"1663","14740",0.5427,0.3983,0.1261,0.9049,0.6487,2020,"NY"
"1664","14741",0.2493,0.588,0.1461,0.7874,0.5072,2020,"NY"
"1665","14742",0.4504,0.1628,0.2189,0.3014,0.2441,2020,"NY"
"1666","14743",0.7834,0.9645,0.4917,0.4728,0.8017,2020,"NY"
"1667","14744",0.6476,0.0917,0.5244,0.8401,0.5794,2020,"NY"
"1668","14747",0.608,0.4808,0.1209,0.416,0.4653,2020,"NY"
"1669","14748",0.8017,0.9914,0.7628,0.541,0.8768,2020,"NY"
"1670","14750",0.3249,0.9198,0.4573,0.8178,0.7158,2020,"NY"
"1671","14752",0.3971,0.992,0,0.161,0.404,2020,"NY"
"1672","14753",0.545,0.4413,0.1851,0.7375,0.5908,2020,"NY"
"1673","14754",0.5129,0.8321,0.0837,0.4378,0.5307,2020,"NY"
"1674","14755",0.8006,0.7266,0.4246,0.7261,0.7977,2020,"NY"
"1675","14756",0.2642,0.2453,0,0.09,0.1117,2020,"NY"
"1676","14757",0.5668,0.6436,0.4395,0.7662,0.7026,2020,"NY"
"1677","14760",0.859,0.8653,0.4481,0.9158,0.8968,2020,"NY"
"1678","14767",0.6963,0.5817,0.0991,0.4344,0.545,2020,"NY"
"1679","14769",0.7811,0.0819,0.2693,0.3129,0.333,2020,"NY"
"1680","14770",0.4814,0.9112,0.2189,0.5908,0.643,2020,"NY"
"1681","14772",0.6126,0.8888,0.2579,0.7043,0.7421,2020,"NY"
"1682","14774",0.157,0.2235,0.3616,0.0974,0.11,2020,"NY"
"1683","14775",0.7456,0.3278,0.3742,0.5628,0.5977,2020,"NY"
"1684","14777",0.6642,0.745,0.3696,0.3685,0.5845,2020,"NY"
"1685","14778",0.0413,0.0063,0.7014,0.1421,0.0218,2020,"NY"
"1686","14779",0.9009,0.945,0.7713,0.8447,0.9352,2020,"NY"
"1687","14781",0.706,0.6315,0.3415,0.4848,0.6258,2020,"NY"
"1688","14782",0.6287,0.8063,0.2464,0.5507,0.6504,2020,"NY"
"1689","14783",0.8206,0.4521,0.8963,0.3307,0.6573,2020,"NY"
"1690","14784",0.5066,0.1192,0,0.2063,0.1736,2020,"NY"
"1691","14787",0.8155,0.7564,0.4246,0.698,0.7989,2020,"NY"
"1692","14788",0.3421,0.0751,0.4917,0.1352,0.1221,2020,"NY"
"1693","14801",0.8476,0.4487,0.1427,0.6206,0.6911,2020,"NY"
"1694","14802",0.7782,0.102,0.7226,0.7301,0.6344,2020,"NY"
"1695","14803",0.6734,0.2143,0.3513,0.1576,0.2894,2020,"NY"
"1696","14804",0.1461,0.2355,0.3307,0.2991,0.1731,2020,"NY"
"1697","14805",0.6894,0.2722,0.0991,0.1593,0.2762,2020,"NY"
"1698","14806",0.6688,0.7519,0.0894,0.4418,0.5834,2020,"NY"
"1699","14807",0.4304,0.6865,0.392,0.4413,0.4957,2020,"NY"
"1700","14808",0.5507,0.8533,0.2756,0.2304,0.4619,2020,"NY"
"1701","14809",0.8332,0.9559,0.3415,0.7536,0.8745,2020,"NY"
"1702","14810",0.7266,0.8287,0.4143,0.9622,0.8636,2020,"NY"
"1703","14812",0.7708,0.7616,0.4573,0.3192,0.6315,2020,"NY"
"1704","14813",0.4642,0.8688,0.4246,0.847,0.757,2020,"NY"
"1705","14814",0.0321,0.3777,0.239,0.1708,0.0905,2020,"NY"
"1706","14815",0.2613,0.5966,0.1748,0.443,0.3507,2020,"NY"
"1707","14816",0.1805,0.1805,0.7868,0.0407,0.0934,2020,"NY"
"1708","14817",0.2722,0.3192,0.5851,0.5175,0.3742,2020,"NY"
"1709","14818",0.2372,0.1943,0.3077,0.2905,0.1948,2020,"NY"
"1710","14819",0.9754,0.9226,0.1851,0.5341,0.8659,2020,"NY"
"1711","14820",0.6934,0.4579,0.3335,0.396,0.5284,2020,"NY"
"1712","14821",0.4974,0.8711,0.2579,0.4894,0.5931,2020,"NY"
"1713","14822",0.3931,0.5679,0.2464,0.4665,0.435,2020,"NY"
"1714","14823",0.7186,0.9943,0.3564,0.616,0.8321,2020,"NY"
"1715","14824",0.416,0.1496,0.0951,0.2338,0.1891,2020,"NY"
"1716","14825",0.3135,0.4017,0.1169,0.4871,0.3387,2020,"NY"
"1717","14826",0.6223,0.6166,0.2344,0.5885,0.6126,2020,"NY"
"1718","14827",0,0.1748,0,0.1083,0.0275,2020,"NY"
"1719","14830",0.5037,0.6521,0.3513,0.6819,0.6298,2020,"NY"
"1720","14836",0.3576,0.1393,0.2756,0.1926,0.1628,2020,"NY"
"1721","14837",0.7828,0.7301,0.239,0.863,0.812,2020,"NY"
"1722","14838",0.4166,0.7685,0.1461,0.3725,0.4287,2020,"NY"
"1723","14839",0.6424,0.6229,0.0722,0.4355,0.5289,2020,"NY"
"1724","14840",0.4533,0.5794,0.3192,0.6126,0.5433,2020,"NY"
"1725","14841",0.7095,0.2246,0.2298,0.1817,0.3112,2020,"NY"
"1726","14842",0.9954,0.0516,0,0.3484,0.5129,2020,"NY"
"1727","14843",0.6596,0.9473,0.4304,0.8223,0.8372,2020,"NY"
"1728","14845",0.4183,0.9163,0.5324,0.7284,0.7261,2020,"NY"
"1729","14846",0.3301,0.3186,0.0951,0.4189,0.2934,2020,"NY"
"1730","14847",0.667,0.8344,0.3415,0.8046,0.7908,2020,"NY"
"1731","14850",0.6705,0.1427,0.7587,0.9691,0.745,2020,"NY"
"1732","14853",0.1765,0.0361,0.8201,0.1421,0.0917,2020,"NY"
"1733","14854",0,0.0458,0,0,0.0069,2020,"NY"
"1734","14855",0.8355,0.6115,0.239,0.7026,0.7691,2020,"NY"
"1735","14856",1,0.2957,0,0.1284,0.553,2020,"NY"
"1736","14858",0.604,0.3009,0.3696,0.3983,0.4407,2020,"NY"
"1737","14859",0.7966,0.5438,0.2235,0.1673,0.4355,2020,"NY"
"1738","14860",0.6115,0.4195,0.2344,0.2963,0.3994,2020,"NY"
"1739","14861",0.8688,0.4745,0,0.2797,0.5261,2020,"NY"
"1740","14864",0.455,0.506,0.3014,0.2395,0.3347,2020,"NY"
"1741","14865",0.8057,0.8802,0.2344,0.9977,0.9049,2020,"NY"
"1742","14867",0.3209,0.6734,0.2579,0.4023,0.3805,2020,"NY"
"1743","14869",0.2166,0.3931,0.1719,0.4223,0.2739,2020,"NY"
"1744","14870",0.1834,0.7324,0.5186,0.7215,0.5341,2020,"NY"
"1745","14871",0.4269,0.6676,0.4109,0.4138,0.4693,2020,"NY"
"1746","14872",0.4751,0.984,0.5777,0.188,0.5691,2020,"NY"
"1747","14873",0.7885,0.5628,0.4688,0.537,0.6946,2020,"NY"
"1748","14874",0.3009,0.0636,0.0894,0.0848,0.0693,2020,"NY"
"1749","14877",0.7375,0.2378,0.137,0.2487,0.3501,2020,"NY"
"1750","14878",0.6607,0.7857,0.1524,0.137,0.3822,2020,"NY"
"1751","14879",0.5393,0.6544,0.2579,0.4395,0.5181,2020,"NY"
"1752","14880",0.6407,0.3673,0.2802,0.2258,0.3616,2020,"NY"
"1753","14881",0,0.2613,0,0.3203,0.0682,2020,"NY"
"1754","14882",0.0865,0.5117,0.4917,0.3759,0.2458,2020,"NY"
"1755","14883",0.6138,0.808,0.4573,0.7117,0.7433,2020,"NY"
"1756","14884",0.612,0.9049,0.0991,0.2321,0.4934,2020,"NY"
"1757","14885",0.812,0.7805,0.2298,0.6332,0.7559,2020,"NY"
"1758","14886",0.3857,0.3599,0.2911,0.5771,0.4235,2020,"NY"
"1759","14889",0.7479,0.3398,0.4246,0.5576,0.6092,2020,"NY"
"1760","14891",0.788,0.6424,0.4573,0.9261,0.8413,2020,"NY"
"1761","14892",0.7593,0.8865,0.3696,0.851,0.8453,2020,"NY"
"1762","14893",NA,NA,NA,NA,NA,2020,"NY"
"1763","14894",0.3009,0.1691,0.1673,0.5897,0.3032,2020,"NY"
"1764","14895",0.5891,0.7822,0.1794,0.8516,0.7479,2020,"NY"
"1765","14897",0.7232,0.6883,0.0837,0.3582,0.5387,2020,"NY"
"1766","14898",0.9215,0.5421,0.1043,0.4808,0.7123,2020,"NY"
"1767","14901",0.953,0.8464,0.6968,0.9284,0.9473,2020,"NY"
"1768","14903",0.5742,0.5083,0.5519,0.5564,0.596,2020,"NY"
"1769","14904",0.8819,0.7696,0.6304,0.7272,0.859,2020,"NY"
"1770","14905",0.6814,0.8017,0.5576,0.4642,0.6831,2020,"NY"
