"","GEOID","RPL_theme1","RPL_theme2","RPL_theme3","RPL_theme4","RPL_themes","year","state"
"1332","06031000604",0.4241,0.5974,0.3982,0.195,0.3738,2020,"CA"
"1333","06031000701",0.223,0.6042,0.3067,0.295,0.3064,2020,"CA"
"1334","06031000702",0.4237,0.8895,0.4731,0.4396,0.555,2020,"CA"
"1335","06031000800",0.5956,0.9432,0.5787,0.6627,0.7354,2020,"CA"
"1336","06031000901",0.7045,0.8896,0.4187,0.7019,0.7589,2020,"CA"
"1337","06031000902",0.7757,0.975,0.5708,0.7553,0.8727,2020,"CA"
"1338","06031001001",0.3793,0.7468,0.3913,0.8341,0.6095,2020,"CA"
"1339","06031001002",0.8673,0.8894,0.7688,0.9793,0.9654,2020,"CA"
"1340","06031001003",0.7846,0.8874,0.7107,0.5191,0.7797,2020,"CA"
"1341","06031001100",0.8742,0.9963,0.842,0.9782,0.9933,2020,"CA"
"1342","06031001200",0.5561,0.541,0.365,0.1969,0.4213,2020,"CA"
"1343","06031001300",0.9382,0.9911,0.8588,0.904,0.988,2020,"CA"
"1344","06031001401",0.6889,0.9163,0.8662,0.6347,0.7963,2020,"CA"
"1345","06031001402",0.9187,0.9459,0.6947,0.8816,0.9545,2020,"CA"
"1346","06031001500",0.688,0.9891,0.737,0.9383,0.9327,2020,"CA"
"1347","06031001601",0.7807,0.8331,0.7272,0.6981,0.8138,2020,"CA"
"1348","06031001702",0.8945,0.9783,0.9126,0.674,0.9333,2020,"CA"
"1349","06031001703",0.9551,0.7439,0.892,0.5159,0.8515,2020,"CA"
"1350","06031980000",0.3754,0.0768,0.3868,0.2189,0.2022,2020,"CA"
"1351","06031980100",0.0989,0.0077,0.671,0.0941,0.0165,2020,"CA"
"1352","06031981800",0.0998,0.0129,0.6601,0.0941,0.0215,2020,"CA"
"1353","06033000100",0.5684,0.5054,0.1761,0.667,0.5544,2020,"CA"
"1354","06033000300",0.5855,0.5719,0.1646,0.8014,0.6241,2020,"CA"
"1355","06033000401",0.2942,0.9189,0.1233,0.5525,0.4936,2020,"CA"
"1356","06033000402",0.7011,0.6692,0.2673,0.9032,0.7569,2020,"CA"
"1357","06033000501",0.7152,0.2142,0.1248,0.4213,0.475,2020,"CA"
"1358","06033000502",0.4742,0.4915,0.1188,0.7997,0.5461,2020,"CA"
"1359","06033000601",0.654,0.4463,0.035,0.3718,0.4731,2020,"CA"
"1360","06033000602",0.3371,0.6395,0.0398,0.3365,0.3483,2020,"CA"
